# tools/reflection/engine_split.py 1.0.0 -- authoritative UE 5.4.4 module name set at changelist 35576357 (++UE5+Release-5.4, research/unreal/engine-version.json), read from Engine/Source/**/*.Build.cs and Engine/Plugins/**/*.uplugin
# 1841 distinct names: 653 from Engine/Source (1:1 with 653 *.Build.cs files), 1188 distinct from Engine/Plugins (from 609 *.uplugin files' Modules[] arrays)
module_name	source_kind	evidence_file	evidence_line
AppleImageUtilsBlueprintSupport	uplugin	Engine/Plugins/Runtime/AppleImageUtils/AppleImageUtils.uplugin	27
AppleMoviePlayer	uplugin	Engine/Plugins/Runtime/AppleMoviePlayer/AppleMoviePlayer.uplugin	19
AppleProResDecoderElectra	uplugin	Engine/Plugins/Media/AppleProResDecoderElectra/AppleProResDecoderElectra.uplugin	17
AppleProResMedia	uplugin	Engine/Plugins/Media/AppleProResMedia/AppleProResMedia.uplugin	17
AppleVision	uplugin	Engine/Plugins/Experimental/AppleVision/AppleVision.uplugin	20
AppleVisionBlueprintSupport	uplugin	Engine/Plugins/Experimental/AppleVision/AppleVision.uplugin	29
ApplicationCore	build.cs	Engine/Source/Runtime/ApplicationCore/ApplicationCore.Build.cs	5
ArchVisCharacter	uplugin	Engine/Plugins/Runtime/ArchVisCharacter/ArchVisCharacter.uplugin	20
ArmlibGPUInfo	build.cs	Engine/Source/ThirdParty/ARM/ArmlibGPUInfo/ArmlibGPUInfo.Build.cs	7
Asio	build.cs	Engine/Source/ThirdParty/asio/Asio.Build.cs	5
AssetDefinition	build.cs	Engine/Source/Editor/AssetDefinition/AssetDefinition.Build.cs	6
AssetManagerEditor	uplugin	Engine/Plugins/Editor/AssetManagerEditor/AssetManagerEditor.uplugin	21
AssetReferenceRestrictions	uplugin	Engine/Plugins/Editor/AssetReferenceRestrictions/AssetReferenceRestrictions.uplugin	19
AssetRegistry	build.cs	Engine/Source/Runtime/AssetRegistry/AssetRegistry.Build.cs	5
AssetRegistryExport	uplugin	Engine/Plugins/Editor/AssetRegistryExport/AssetRegistryExport.uplugin	19
AssetSearch	uplugin	Engine/Plugins/Editor/AssetSearch/AssetSearch.uplugin	19
AssetTags	uplugin	Engine/Plugins/Runtime/AssetTags/AssetTags.uplugin	20
AssetTagsEditor	build.cs	Engine/Source/Editor/AssetTagsEditor/AssetTagsEditor.Build.cs	5
AssetTools	build.cs	Engine/Source/Developer/AssetTools/AssetTools.Build.cs	5
AtomicQueue	build.cs	Engine/Source/ThirdParty/AtomicQueue/AtomicQueue.Build.cs	6
AudioAnalyzer	build.cs	Engine/Source/Runtime/AudioAnalyzer/AudioAnalyzer.Build.cs	5
AudioCapture	uplugin	Engine/Plugins/Runtime/AudioCapture/AudioCapture.uplugin	21
AudioCaptureAndroid	build.cs	Engine/Source/Runtime/AudioCaptureImplementations/Android/AudioCaptureAndroid/AudioCaptureAndroid.Build.cs	5
AudioCaptureAudioUnit	build.cs	Engine/Source/Runtime/AudioCaptureImplementations/IOS/AudioCaptureAudioUnit/AudioCaptureAudioUnit.Build.cs	5
AudioCaptureCore	build.cs	Engine/Source/Runtime/AudioCaptureCore/AudioCaptureCore.Build.cs	5
AudioCaptureEditor	uplugin	Engine/Plugins/Runtime/AudioCapture/AudioCapture.uplugin	27
AudioCaptureRtAudio	build.cs	Engine/Source/Runtime/AudioCaptureImplementations/AudioCaptureRtAudio/AudioCaptureRtAudio.Build.cs	5
AudioCaptureTimecodeProvider	uplugin	Engine/Plugins/Media/AudioCaptureTimecodeProvider/AudioCaptureTimecodeProvider.uplugin	20
AudioCaptureWasapi	build.cs	Engine/Source/Runtime/AudioCaptureImplementations/Windows/AudioCaputureWasapi/AudioCaptureWasapi.Build.cs	5
AudioEditor	build.cs	Engine/Source/Editor/AudioEditor/AudioEditor.Build.cs	6
AudioExtensions	build.cs	Engine/Source/Runtime/AudioExtensions/AudioExtensions.Build.cs	5
AudioFormatADPCM	build.cs	Engine/Source/Developer/AudioFormatADPCM/AudioFormatADPCM.Build.cs	5
AudioFormatBink	build.cs	Engine/Source/Developer/AudioFormatBink/AudioFormatBink.Build.cs	6
AudioFormatOgg	build.cs	Engine/Source/Developer/AudioFormatOgg/AudioFormatOgg.Build.cs	5
AudioFormatOpus	build.cs	Engine/Source/Developer/AudioFormatOpus/AudioFormatOpus.Build.cs	5
AudioFormatRad	build.cs	Engine/Source/Developer/AudioFormatRad/AudioFormatRad.Build.cs	6
AudioGameplay	uplugin	Engine/Plugins/AudioGameplay/AudioGameplay.uplugin	18
AudioGameplayTests	uplugin	Engine/Plugins/AudioGameplay/AudioGameplay.uplugin	23
AudioGameplayVolume	uplugin	Engine/Plugins/AudioGameplayVolume/AudioGameplayVolume.uplugin	18
AudioGameplayVolumeEditor	uplugin	Engine/Plugins/AudioGameplayVolume/AudioGameplayVolume.uplugin	23
AudioInsights	uplugin	Engine/Plugins/AudioInsights/AudioInsights.uplugin	20
AudioLinkCore	build.cs	Engine/Source/Runtime/AudioLink/AudioLinkCore/AudioLinkCore.Build.cs	5
AudioLinkEngine	build.cs	Engine/Source/Runtime/AudioLink/AudioLinkEngine/AudioLinkEngine.Build.cs	5
AudioMixer	build.cs	Engine/Source/Runtime/AudioMixer/AudioMixer.Build.cs	5
AudioMixerAndroid	build.cs	Engine/Source/Runtime/Android/AudioMixerAndroid/AudioMixerAndroid.Build.cs	5
AudioMixerAudioUnit	build.cs	Engine/Source/Runtime/Apple/AudioMixerAudioUnit/AudioMixerAudioUnit.Build.cs	5
AudioMixerCore	build.cs	Engine/Source/Runtime/AudioMixerCore/AudioMixerCore.Build.cs	5
AudioMixerCoreAudio	build.cs	Engine/Source/Runtime/Apple/AudioMixerCoreAudio/AudioMixerCoreAudio.Build.cs	6
AudioMixerPlatformAudioLink	build.cs	Engine/Source/Runtime/AudioLink/AudioMixerPlatformAudioLink/AudioMixerPlatformAudioLink.Build.cs	5
AudioMixerSDL	build.cs	Engine/Source/Runtime/Linux/AudioMixerSDL/AudioMixerSDL.Build.cs	5
AudioMixerXAudio2	build.cs	Engine/Source/Runtime/Windows/AudioMixerXAudio2/AudioMixerXAudio2.Build.cs	5
AudioModulation	uplugin	Engine/Plugins/Runtime/AudioModulation/AudioModulation.uplugin	20
AudioModulationEditor	uplugin	Engine/Plugins/Runtime/AudioModulation/AudioModulation.uplugin	25
AudioMotorSim	uplugin	Engine/Plugins/Runtime/AudioMotorSim/AudioMotorSim.uplugin	19
AudioMotorSimStandardComponents	uplugin	Engine/Plugins/Runtime/AudioMotorSim/AudioMotorSim.uplugin	24
AudioPlatformConfiguration	build.cs	Engine/Source/Runtime/AudioPlatformConfiguration/AudioPlatformConfiguration.Build.cs	5
AudioSettingsEditor	build.cs	Engine/Source/Developer/AudioSettingsEditor/AudioSettingsEditor.Build.cs	5
AudioSynesthesia	uplugin	Engine/Plugins/Runtime/AudioSynesthesia/AudioSynesthesia.uplugin	25
AudioSynesthesiaCore	uplugin	Engine/Plugins/Runtime/AudioSynesthesia/AudioSynesthesia.uplugin	20
AudioSynesthesiaEditor	uplugin	Engine/Plugins/Runtime/AudioSynesthesia/AudioSynesthesia.uplugin	30
AudioWidgets	uplugin	Engine/Plugins/Runtime/AudioWidgets/AudioWidgets.uplugin	19
AugmentedReality	build.cs	Engine/Source/Runtime/AugmentedReality/AugmentedReality.build.cs	5
AutomationController	build.cs	Engine/Source/Developer/AutomationController/AutomationController.Build.cs	5
AutomationDriver	build.cs	Engine/Source/Developer/AutomationDriver/AutomationDriver.Build.cs	5
AutomationDriverTests	uplugin	Engine/Plugins/Tests/AutomationDriverTests/AutomationDriverTests.uplugin	19
AutomationMessages	build.cs	Engine/Source/Runtime/AutomationMessages/AutomationMessages.Build.cs	5
AutomationTest	build.cs	Engine/Source/Runtime/AutomationTest/AutomationTest.Build.cs	5
AutomationUtils	uplugin	Engine/Plugins/Experimental/AutomationUtils/AutomationUtils.uplugin	18
AutomationUtilsEditor	uplugin	Engine/Plugins/Experimental/AutomationUtils/AutomationUtils.uplugin	23
AutomationWindow	build.cs	Engine/Source/Developer/AutomationWindow/AutomationWindow.Build.cs	5
AutomationWorker	build.cs	Engine/Source/Runtime/AutomationWorker/AutomationWorker.Build.cs	5
Avalanche	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	25
AvalancheAttribute	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	222
AvalancheAttributeEditor	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	228
AvalancheComponentVisualizers	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	47
AvalancheCore	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	31
AvalancheEditor	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	37
AvalancheEditorCore	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	42
AvalancheEffectors	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	52
AvalancheEffectorsEditor	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	58
AvalancheInteractiveTools	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	63
AvalancheInteractiveToolsRuntime	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	68
AvalancheLevelViewport	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	74
AvalancheMRQ	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	195
AvalancheMRQEditor	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	201
AvalancheMask	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	84
AvalancheMaskEditor	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	90
AvalancheMedia	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	95
AvalancheMediaEditor	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	101
AvalancheModifiers	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	106
AvalancheModifiersEditor	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	112
AvalancheOutliner	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	79
AvalanchePropertyAnimator	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	117
AvalanchePropertyAnimatorEditor	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	123
AvalancheRemoteControl	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	128
AvalancheRemoteControlEditor	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	134
AvalancheSVGEditor	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	206
AvalancheSceneTree	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	177
AvalancheSequence	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	139
AvalancheSequencer	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	145
AvalancheShapes	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	150
AvalancheShapesEditor	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	156
AvalancheTag	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	211
